centre_code,centre_name,city,state,pin,lat,lon,pin_place,pin_state,source
IND560027AAA,Blr_Domlur (Karnataka),Blr,Karnataka,560027,13.225699999999998,77.575,"Wilson Garden, Sampangiramnagar, Shanthinagar",Karnataka,geonames-pin
IND563116AAA,Bethamangala_FshryOFC_D (Karnataka),Bethamangala,Karnataka,563116,13.04708,78.24932,"Gannerahalli, Bethamangala, Sundarapalya, Kadripura, Vengasandra, Hulkur, Ramasagara, Gollahalli, Mustoor, N.G. Hulkur",Karnataka,geonames-pin
IND465333AAA,Shujalpur_AstrdDPP_D (Madhya Pradesh),Shujalpur,Madhya Pradesh,465333,23.39751,76.6791,"Shujalpur  City, Mayapur  Mangrola, Arniya  Kalan, Rolakhedi, Bhilkhedi, Tilawadmena, Alisiriya, Raipur, Shujalpur  Mandi, Dehandi",Madhya Pradesh,geonames-pin
IND110024AAA,Delhi_Lajpat_IP (Delhi),Delhi,Delhi,110024,28.572375,77.236475,"Amar Colony, Lajpat Nagar (South Delhi), Krishna Market, Defence Colony (South Delhi)",Delhi,geonames-pin
IND600016AAC,Chennai_Perungudi_DPC (Tamil Nadu),Chennai,Tamil Nadu,600016,12.9846,80.1747,"Meenambakkam, Chennai Airport, St.Thomas Mount H.O, Alandur(Reopened W.E.F.6.6.05)",Tamil Nadu,geonames-pin
IND577126AAA,Koppa_Sangetha_D (Karnataka),Koppa,Karnataka,577126,13.484815789473684,75.416,"Kelakuli, Koppa H.O, Halmathur, Gunavanthe, Melukoppa, Suryadevasthana, Uttameshwara, Belavinakodige, Andagaru, Kachakalli, Hosakoppa, Addada, Narve, Dayamballi, Bhandigadi, Kesave, Berukodige, Addagadde, Hirekodige",Karnataka,geonames-pin
IND131301AAA,Gohana_DvlalDPP_D (Haryana),Gohana,Haryana,131301,29.091414285714286,76.74575357142858,"Kheri Damkan, Jagsi, Lath, Gohana, Madina, Puthi, Barota, Jauli, Kathura, Sikenderpur Majra, Bali Brahman, Tihar, Mehmoodpur, Mahra-I, Bidhal Pinana, Mini Sectt Gohana, Moi Hooda, Nayat, Rabra, Gohana Mandi, Bus Stand Gohana, Rukhi, Bhainswan Khurd, Kathura Block, Ahulana(Gohana), Khandrai, Chhichrana, Bidhal",Haryana,geonames-pin
IND751015AAA,Bhubaneshwar_Nayapalli (Orissa),Bhubaneshwar,Orissa,751015,20.09,85.5114,I R C Village,Odisha,geonames-pin
IND201301AAL,Dadri_ICDCant_D (Uttar Pradesh),Dadri,Uttar Pradesh,201301,28.60875,77.51740000000001,"Noida Sector 27, Noida Sector 12, Noida H.O, Noida Sector 16",Uttar Pradesh,geonames-pin
IND243503AAB,Faridpur_ShjnprRD_D (Uttar Pradesh),Faridpur,Uttar Pradesh,243503,28.264591304347825,79.54666956521739,"Dhakni Rajpuri, Rampura Ratan, Sarkara, Angadpur Khamaria, Raipur Hans, Nawada Bilsandi, Sunha, Faiznagar, Faridpur, Kuan Tanda, Hazipur Khazuria B, Budhauuli, Nagaria Vikram, Marhi Sukatia, Athana, Laungpur, Kakra Kalan, Khateli, Dalpura, Pachomi, Piperthara, Simra Bahor Nagla, Qadarganj",Uttar Pradesh,geonames-pin
IND485001AAC,Satna_Central_I_2 (Madhya Pradesh),Satna,Madhya Pradesh,485001,24.500655555555557,80.7396,"Mahadeva, Lagargawan, Patura, Satna Mukhtiyarganj, Rampur Gandhi Gram, Pithurabad, Itmanaditeer, Sabhaganj, Satna Tikuria Tola, Bhatnawara, Satna Civil Line, Satna Semaria Chowk, Loharaura, Bharhut, Satna H.O, Bhumkahar, Satna Jawahar Nagar, Bagha",Madhya Pradesh,geonames-pin
IND248122AAB,Mussoorie_BrlwgDPP_D (Uttarakhand),Mussoorie,Uttarakhand,248122,30.4409,78.0892,Barlowganj,Uttarakhand,geonames-pin
